N_Size,Run_ID,Fixed_Pct,Success,Duration,Iterations,Energy_Init,Energy_Final,Temp_Init,Temp_Final,Cooling_Rate,Restarts,Accepted,Rejected,Improved,Fixed_Count
4,1,10,True,0.0160262584686279,38,8,0,1.0,0.7422710963951611,0.9921875,0,14,24,4,5
4,2,10,True,0.0250349044799804,3,4,0,1.0,0.9767451286315918,0.9921875,0,1,2,1,7
4,3,10,True,0.0189955234527587,12,8,0,1.0,0.9101752373148524,0.9921875,0,6,6,5,4
4,4,10,True,0.0157916545867919,24,6,0,1.0,0.8284189626211481,0.9921875,0,8,16,4,6
4,5,10,True,0.0224194526672363,11,4,0,1.0,0.917341971466938,0.9921875,0,4,7,2,6
4,6,10,True,0.0161094665527343,61,4,0,1.0,0.6197532741133521,0.9921875,0,24,37,5,6
4,7,10,True,0.0184552669525146,72,4,0,1.0,0.5685256902982322,0.9921875,0,21,51,6,6
4,8,10,True,0.0157127380371093,5,6,0,1.0,0.9615431017882656,0.9921875,0,4,1,3,7
4,9,10,True,0.0121665000915527,13,6,0,1.0,0.9030644932733304,0.9921875,0,8,5,5,6
4,10,10,True,0.0,9,4,0,1.0,0.9318451770422416,0.9921875,0,2,7,2,7
4,1,15,True,0.0150375366210937,14,4,0,1.0,0.8960093019196324,0.9921875,0,8,6,2,8
4,2,15,True,0.0160794258117675,4,2,0,1.0,0.9691143073141576,0.9921875,0,1,3,1,9
4,3,15,True,0.0105495452880859,93,8,0,1.0,0.4821907463620192,0.9921875,0,7,86,5,6
4,4,15,True,0.0063941478729248,2,6,0,1.0,0.98443603515625,0.9921875,0,2,0,2,7
4,5,15,True,0.0161747932434082,9,4,0,1.0,0.9318451770422416,0.9921875,0,2,7,2,7
4,6,15,True,0.0106644630432128,21,8,0,1.0,0.8481424051551228,0.9921875,0,13,8,5,6
4,7,15,True,0.0101161003112792,6,4,0,1.0,0.9540310463055448,0.9921875,0,3,3,1,8
4,8,15,True,0.0158333778381347,9,8,0,1.0,0.9318451770422416,0.9921875,0,4,5,4,7
4,9,15,True,0.0077972412109375,1,2,0,1.0,0.9921875,0.9921875,0,1,0,1,8
4,10,15,True,0.0160021781921386,14,10,0,1.0,0.8960093019196324,0.9921875,0,6,8,5,6
4,1,20,True,0.0248148441314697,8,4,0,1.0,0.9391825406409992,0.9921875,0,4,4,3,8
4,2,20,True,0.0056877136230468,6,6,0,1.0,0.9540310463055448,0.9921875,0,4,2,2,9
4,3,20,True,0.0158417224884033,1,2,0,1.0,0.9921875,0.9921875,0,1,0,1,9
4,4,20,True,0.0101222991943359,4,4,0,1.0,0.9691143073141576,0.9921875,0,4,0,2,6
4,5,20,True,0.0161406993865966,29,8,0,1.0,0.7965605388989562,0.9921875,0,14,15,4,7
